"filename", "language", "YAML", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Docker", "Properties", "Markdown", "SCSS", "JavaScript", "Shell Script", "Batch", "Less", "comment", "blank", "total"
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\StoreCart\StoreCartEndpoint.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Basket\StoreCart\StoreCartHandler.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Dtos\CartCheckoutDto.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Exceptions\CartNotFoundException.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\GlobalUsing.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Models\Cart.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Models\CartItem.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Program.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 73
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Properties\launchSettings.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Repository\CachedCartRepository.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Repository\CartRepository.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\Repository\ICartRepository.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\appsettings.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\bin\Debug\net8.0\Basket.API.deps.json", "JSON", 0, 0, 0, 1927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1927
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\bin\Debug\net8.0\Basket.API.runtimeconfig.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Services\Basket\Basket.API\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
